term,estimate,std.error,statistic,p.value
(Intercept),12.12122437665473,0.02769298681681079,437.70014613579514,0
formal,0.7994868467228593,0.011528841277625148,69.34667825416948,0
sexo_dummy,0.3583196945646957,0.011000130090317634,32.57413245322348,4.379225538137746e-225
CH06,6.222842149523843e-4,4.2502311186075114e-4,1.4641185328205426,0.14318213489725923
NIVEL_ED,0.09609968801385359,0.0043110900090229335,22.29127385712683,2.3791733897856914e-108
