formal_factor,n_original,media_original,mediana_original,sd_original,p25_original,p75_original,n_limpia,media_limpia,mediana_limpia,sd_limpia,p25_limpia,p75_limpia
Informal,7015,457434.43007840344,400000,422691.60318269854,200000,600000,6928,428933.24581408774,400000,300291.9629928998,200000,600000
Formal,9236,1074967.473256821,900000,916431.3866205539,650000,1200000,8358,881056.3870543193,850000,378485.85966816405,600000,1100000
